unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1507766400,10/12/2017 0:00,BTC/USD,4822.01,5445,4793.66,5445,102397248.4,19885.18
1507680000,10/11/2017 0:00,BTC/USD,4749.29,4869.78,4700,4822.01,47163032.6,9847.43
1507593600,10/10/2017 0:00,BTC/USD,4764.7,4909.97,4700,4749.29,56048025.67,11657.5
1507507200,10/9/2017 0:00,BTC/USD,4597.98,4865,4541,4764.7,60364606.58,12900.31
1507420800,10/8/2017 0:00,BTC/USD,4423.3,4612,4404.5,4597.98,45437977.1,10072.26
1507334400,10/7/2017 0:00,BTC/USD,4362.95,4463,4312.82,4423.3,20225980.37,4624.88
1507248000,10/6/2017 0:00,BTC/USD,4301.09,4425,4278.4,4362.95,36536990.19,8373.72
1507161600,10/5/2017 0:00,BTC/USD,4219.53,4358.97,4137.96,4301.09,35843264.32,8403.54
1507075200,10/4/2017 0:00,BTC/USD,4315.83,4343,4170.07,4219.53,35967135.01,8495.27
1506988800,10/3/2017 0:00,BTC/USD,4391.48,4425,4218,4315.83,53430721.04,12439.78
1506902400,10/2/2017 0:00,BTC/USD,4377.22,4453,4352,4391.48,36284325.23,8257.67
1506816000,10/1/2017 0:00,BTC/USD,4326.09,4377.22,4216,4377.22,30767188.12,7186.75
1506729600,9/30/2017 0:00,BTC/USD,4164.82,4349,4154.28,4326.09,32022657.82,7484.86
1506643200,9/29/2017 0:00,BTC/USD,4184.84,4227.62,4022.02,4164.82,50174093.2,12152.44
1506556800,9/28/2017 0:00,BTC/USD,4199.29,4270.01,4123.5,4184.84,40228821.54,9606.78
1506470400,9/27/2017 0:00,BTC/USD,3888.03,4226.73,3870,4199.29,61138922.31,15047.14
1506384000,9/26/2017 0:00,BTC/USD,3918,3970,3850.61,3888.03,39095846.8,9982.65
1506297600,9/25/2017 0:00,BTC/USD,3664.22,3968.59,3658.39,3918,57436091.87,14928.61
1506211200,9/24/2017 0:00,BTC/USD,3779.17,3783.25,3615,3664.22,24002945.44,6506.91
1506124800,9/23/2017 0:00,BTC/USD,3612.18,3810.25,3552,3779.17,37543313.88,10105.29
1506038400,9/22/2017 0:00,BTC/USD,3617.05,3761.84,3514,3612.18,54095681.79,14959.45
1505952000,9/21/2017 0:00,BTC/USD,3874.46,3914,3573,3617.05,66991792.86,17898.73
1505865600,9/20/2017 0:00,BTC/USD,3888.8,4050,3820.56,3874.46,45755993.66,11636.97
1505779200,9/19/2017 0:00,BTC/USD,4101.6,4119.7,3848.35,3888.8,60296939.36,15251.89
1505692800,9/18/2017 0:00,BTC/USD,3662.99,4122.7,3659.42,4101.6,67884703.07,17181.29
1505606400,9/17/2017 0:00,BTC/USD,3678.93,3772.52,3463,3662.99,42610629.87,11757.1
1505520000,9/16/2017 0:00,BTC/USD,3700.01,3872.9,3500,3678.93,84682175.88,23098.16
1505433600,9/15/2017 0:00,BTC/USD,3227.79,3820,2977,3700.01,201603301.3,59782.68
1505347200,9/14/2017 0:00,BTC/USD,3865.34,3921.74,3210,3227.79,145677912.4,41197.76
1505260800,9/13/2017 0:00,BTC/USD,4172.56,4179.14,3720.01,3865.34,115047415.4,29518.25
1505174400,9/12/2017 0:00,BTC/USD,4207.31,4377.65,4080,4172.56,56085500.46,13251.77
1505088000,9/11/2017 0:00,BTC/USD,4226.22,4353.49,4092.4,4207.31,46993960.17,11154.82
1505001600,9/10/2017 0:00,BTC/USD,4308.72,4322.44,4010,4226.22,61000822.58,14714.59
1504915200,9/9/2017 0:00,BTC/USD,4312,4379.78,4164,4308.72,42672278.95,9970.37
1504828800,9/8/2017 0:00,BTC/USD,4615,4679.97,4125.99,4312,103400550.3,23654.99
1504742400,9/7/2017 0:00,BTC/USD,4605.8,4674.34,4475,4615,42404174.64,9248.08
1504656000,9/6/2017 0:00,BTC/USD,4396.52,4649.23,4356.42,4605.8,75215090.16,16613.84
1504569600,9/5/2017 0:00,BTC/USD,4277,4474.88,4001.93,4396.52,88387794.12,20870.95
1504483200,9/4/2017 0:00,BTC/USD,4606.26,4613.97,4058.5,4277,107556542.1,25014.15
1504396800,9/3/2017 0:00,BTC/USD,4599.9,4700,4385,4606.26,51073979.31,11216.38
1504310400,9/2/2017 0:00,BTC/USD,4921.7,4979.9,4488.5,4599.9,79450494.42,16968.78
1504224000,9/1/2017 0:00,BTC/USD,4734.26,4935,4671.09,4921.7,73806190.52,15349.9
1504137600,8/31/2017 0:00,BTC/USD,4573.2,4765.21,4566.66,4734.26,41680053.91,8901.59
1504051200,8/30/2017 0:00,BTC/USD,4578.82,4642.22,4479,4573.2,39221767.23,8593.36
1503964800,8/29/2017 0:00,BTC/USD,4379.99,4649.78,4336.26,4578.82,53470073.42,11875.02
1503878400,8/28/2017 0:00,BTC/USD,4337.68,4399.72,4169.01,4379.99,37056561.52,8636.26
1503792000,8/27/2017 0:00,BTC/USD,4333.38,4393.3,4290.32,4337.68,17115061.37,3944.92
1503705600,8/26/2017 0:00,BTC/USD,4355.98,4369.78,4232.43,4333.38,28226249.72,6559.28
1503619200,8/25/2017 0:00,BTC/USD,4300.34,4449.98,4270,4355.98,42239588.77,9691.7
1503532800,8/24/2017 0:00,BTC/USD,4108.12,4350,4082.57,4300.34,45158907.08,10779.09
1503446400,8/23/2017 0:00,BTC/USD,4085,4248.97,4051.94,4108.12,62086390.53,14972.03
1503360000,8/22/2017 0:00,BTC/USD,3987.52,4139.31,3600,4085,91500637.87,23497.56
1503273600,8/21/2017 0:00,BTC/USD,4058.68,4080,3949.78,3987.52,39194496.37,9779.7
1503187200,8/20/2017 0:00,BTC/USD,4099.55,4125.95,4000,4058.68,25281427.99,6235.95
1503100800,8/19/2017 0:00,BTC/USD,4100,4188,3900,4099.55,60597363.73,15034.29
1503014400,8/18/2017 0:00,BTC/USD,4276.5,4368,3964.96,4100,72432096,17329.3
1502928000,8/17/2017 0:00,BTC/USD,4378.84,4480,4167.21,4276.5,63198384.95,14566.12
1502841600,8/16/2017 0:00,BTC/USD,4155.67,4379.78,3926.06,4378.84,54192791.68,12923.26
1502755200,8/15/2017 0:00,BTC/USD,4306.23,4400,3800,4155.67,104581194.3,25498.45
1502668800,8/14/2017 0:00,BTC/USD,4053.87,4329.43,3964.96,4306.23,59827087.21,14210.19
1502582400,8/13/2017 0:00,BTC/USD,3855.1,4190,3841.71,4053.87,63638815.67,15881.43
1502496000,8/12/2017 0:00,BTC/USD,3645.06,3934,3586.95,3855.1,46761411.29,12340.84
1502409600,8/11/2017 0:00,BTC/USD,3413.03,3705,3390.67,3645.06,41873464,11923.28
1502323200,8/10/2017 0:00,BTC/USD,3342.99,3448,3311.17,3413.03,30646612.36,9027.65
1502236800,8/9/2017 0:00,BTC/USD,3412.41,3423.1,3178.72,3342.99,47303195.92,14270.73
1502150400,8/8/2017 0:00,BTC/USD,3387.55,3490,3300,3412.41,54033180.58,15829.04
1502064000,8/7/2017 0:00,BTC/USD,3222.75,3430,3186,3387.55,40212285.97,12042.05
1501977600,8/6/2017 0:00,BTC/USD,3263.62,3296.51,3146.1,3222.75,19412655.97,5998.74
1501891200,8/5/2017 0:00,BTC/USD,2855,3339.66,2848.32,3263.62,53855576.01,16994.2
1501804800,8/4/2017 0:00,BTC/USD,2793.37,2877.52,2765.91,2855,21650042.13,7635.81
1501718400,8/3/2017 0:00,BTC/USD,2703.51,2807.44,2698.83,2793.37,21938228.66,7963.67
1501632000,8/2/2017 0:00,BTC/USD,2731,2760,2650,2703.51,25679084.59,9478.55
1501545600,8/1/2017 0:00,BTC/USD,2855.81,2929.17,2615,2731,34305116.96,12518.56
1501459200,7/31/2017 0:00,BTC/USD,2742.37,2889.99,2680.01,2855.81,30771946.97,11112.43
1501372800,7/30/2017 0:00,BTC/USD,2680.56,2774.45,2569.69,2742.37,25842024.03,9675.59
1501286400,7/29/2017 0:00,BTC/USD,2777.01,2785.65,2631.78,2680.56,29153822.62,10780.01
1501200000,7/28/2017 0:00,BTC/USD,2666.33,2825,2655.82,2777.01,38653272.36,14061.36
1501113600,7/27/2017 0:00,BTC/USD,2524.99,2695,2509.63,2666.33,30468221.16,11825.41
1501027200,7/26/2017 0:00,BTC/USD,2564.82,2608.96,2400,2524.99,44074589.03,17706.93
1500940800,7/25/2017 0:00,BTC/USD,2759.98,2775.79,2450,2564.82,55118584.1,21325.75
