unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1633737600,10/9/2021 0:00,XRP/USD,1.06386,1.20913,1.05747,1.15975,33218959.23,38525687.96
1633651200,10/8/2021 0:00,XRP/USD,1.06751,1.09225,1.04573,1.06249,19243347,20445863.76
1633564800,10/7/2021 0:00,XRP/USD,1.07797,1.09437,1.044,1.06728,19246192.52,20541076.35
1633478400,10/6/2021 0:00,XRP/USD,1.08343,1.10735,1.018,1.07721,30570496.14,32930844.15
1633392000,10/5/2021 0:00,XRP/USD,1.04372,1.08886,1.03817,1.08404,27810164.19,30147330.39
1633305600,10/4/2021 0:00,XRP/USD,1.05469,1.06078,1.00694,1.04225,26060505.8,27161562.17
1633219200,10/3/2021 0:00,XRP/USD,1.03703,1.08864,1.021,1.05469,15024451.96,15846139.24
1633132800,10/2/2021 0:00,XRP/USD,1.04166,1.0727,1.00829,1.03586,15410785.95,15963416.73
1633046400,10/1/2021 0:00,XRP/USD,0.95407,1.06802,0.9444,1.04213,31225371.49,32540896.39
1632960000,9/30/2021 0:00,XRP/USD,0.92702,0.96323,0.92129,0.95174,21319971.43,20291069.61
1632873600,9/29/2021 0:00,XRP/USD,0.89141,0.99362,0.88672,0.92744,27073707.43,25109239.22
1632787200,9/28/2021 0:00,XRP/USD,0.92209,0.94323,0.89,0.89249,22077234.59,19703711.1
1632700800,9/27/2021 0:00,XRP/USD,0.94319,0.98156,0.92013,0.92157,22274281.04,20527309.18
1632614400,9/26/2021 0:00,XRP/USD,0.93998,0.95731,0.89268,0.94472,14209519.77,13424017.52
1632528000,9/25/2021 0:00,XRP/USD,0.94462,0.9566,0.9168,0.94052,10958579.86,10306763.53
1632441600,9/24/2021 0:00,XRP/USD,1.00207,1.00366,0.886,0.94492,34335326.92,32444137.11
1632355200,9/23/2021 0:00,XRP/USD,1.00454,1.01783,0.9686,1.00138,18948622.05,18974771.15
1632268800,9/22/2021 0:00,XRP/USD,0.87348,1.00948,0.86811,1.00413,31072630.22,31200960.19
1632182400,9/21/2021 0:00,XRP/USD,0.9216,0.95923,0.8577,0.87138,33416420.95,29118400.89
1632096000,9/20/2021 0:00,XRP/USD,1.04839,1.04908,0.875,0.9195,55151433.56,50711743.16
1632009600,9/19/2021 0:00,XRP/USD,1.07491,1.0837,1.03856,1.04839,6573652.832,6891751.893
1631923200,9/18/2021 0:00,XRP/USD,1.06638,1.09468,1.05713,1.07558,7560689.409,8132126.315
1631836800,9/17/2021 0:00,XRP/USD,1.08892,1.10277,1.05148,1.06619,18296109.37,19507128.85
1631750400,9/16/2021 0:00,XRP/USD,1.1209,1.13012,1.06681,1.09161,13461772.59,14695005.58
1631664000,9/15/2021 0:00,XRP/USD,1.09546,1.13048,1.07952,1.12193,17623478.99,19772309.78
1631577600,9/14/2021 0:00,XRP/USD,1.06517,1.09816,1.05758,1.09621,17966670.43,19695243.79
1631491200,9/13/2021 0:00,XRP/USD,1.11854,1.12594,1.02355,1.06449,28345234.09,30173218.24
1631404800,9/12/2021 0:00,XRP/USD,1.07833,1.1266,1.058,1.11829,14038400.12,15699002.47
1631318400,9/11/2021 0:00,XRP/USD,1.05563,1.11273,1.052,1.07825,14508949.61,15644274.92
1631232000,9/10/2021 0:00,XRP/USD,1.08726,1.244,1.02978,1.05553,44316346.77,46777233.51
1631145600,9/9/2021 0:00,XRP/USD,1.10047,1.138,1.07304,1.08703,24200643.45,26306825.45
1631059200,9/8/2021 0:00,XRP/USD,1.13079,1.148,1.01488,1.09921,35315513.01,38819165.06
1630972800,9/7/2021 0:00,XRP/USD,1.39086,1.39322,0.95003,1.12807,93123083.04,105049356.3
1630886400,9/6/2021 0:00,XRP/USD,1.3083,1.4162,1.3083,1.39079,40053809.78,55706438.11
1630800000,9/5/2021 0:00,XRP/USD,1.25655,1.31307,1.23736,1.30691,10836381.32,14162175.11
1630713600,9/4/2021 0:00,XRP/USD,1.28801,1.29777,1.23527,1.25559,11650605.4,14628383.64
1630627200,9/3/2021 0:00,XRP/USD,1.25356,1.32325,1.221,1.29213,33150213.68,42834385.6
1630540800,9/2/2021 0:00,XRP/USD,1.23517,1.29584,1.22233,1.254,27867516.84,34945866.12
1630454400,9/1/2021 0:00,XRP/USD,1.1826,1.238,1.15896,1.23727,25501697.92,31552485.79
1630368000,8/31/2021 0:00,XRP/USD,1.0987,1.24368,1.092,1.187,50183870.21,59568253.93
