unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1637107200,2021-11-17 00:00:00,ETH/USD,4208.77,4301.15,4065.00,4291.83,17048.15127480,73167767.08572488
1637020800,2021-11-16 00:00:00,ETH/USD,4560.00,4560.00,4106.14,4209.77,41910.83404383,176434971.83269423
1636934400,2021-11-15 00:00:00,ETH/USD,4634.50,4771.23,4540.87,4562.30,24730.82637861,112829449.1871324
1636848000,2021-11-14 00:00:00,ETH/USD,4645.58,4694.49,4517.91,4630.85,14195.62760862,65737822.11137793
1636761600,2021-11-13 00:00:00,ETH/USD,4669.06,4707.42,4586.90,4646.02,7134.54508534,33147239.15739135
1636675200,2021-11-12 00:00:00,ETH/USD,4719.61,4810.93,4510.01,4673.95,14220.48224309,66465822.98009051
1636588800,2021-11-11 00:00:00,ETH/USD,4631.42,4783.27,4580.00,4723.51,18555.93363680,87649138.09276117
1636502400,2021-11-10 00:00:00,ETH/USD,4733.09,4868.79,4452.86,4634.19,26205.78762399,121442598.94921821
1636416000,2021-11-09 00:00:00,ETH/USD,4806.79,4842.65,4712.40,4733.09,19207.51280091,90910886.76285912
1636329600,2021-11-08 00:00:00,ETH/USD,4617.62,4824.99,4617.56,4811.59,18808.81247314,90500294.00763568
1636243200,2021-11-07 00:00:00,ETH/USD,4519.87,4640.00,4507.55,4617.75,8450.58151851,39022672.80709955
1636156800,2021-11-06 00:00:00,ETH/USD,4471.18,4532.76,4329.72,4522.65,7683.85957280,34751407.496923916
1636070400,2021-11-05 00:00:00,ETH/USD,4537.48,4575.10,4446.47,4480.00,9539.81516517,42738371.9399616
1635984000,2021-11-04 00:00:00,ETH/USD,4605.54,4609.66,4421.72,4538.20,12328.02402689,55947038.6388322
1635897600,2021-11-03 00:00:00,ETH/USD,4594.99,4670.81,4455.72,4606.95,20759.36404323,95637352.17895845
1635811200,2021-11-02 00:00:00,ETH/USD,4323.06,4600.00,4288.52,4595.58,26443.16382493,121521674.81057182
1635724800,2021-11-01 00:00:00,ETH/USD,4292.76,4383.95,4150.00,4323.95,16947.31847068,73279357.70129678
1635638400,2021-10-31 00:00:00,ETH/USD,4329.00,4397.95,4168.00,4288.58,10781.28188623,46236389.87164825
1635552000,2021-10-30 00:00:00,ETH/USD,4423.09,4435.03,4233.31,4323.27,11608.82109171,50188067.9611571
1635465600,2021-10-29 00:00:00,ETH/USD,4289.75,4460.00,4267.98,4417.00,28636.60064660,126487865.0560322
1635379200,2021-10-28 00:00:00,ETH/USD,3925.36,4297.68,3893.16,4289.81,24796.74293611,106373315.81475405
1635292800,2021-10-27 00:00:00,ETH/USD,4131.58,4332.29,3912.41,3923.22,28262.47051110,110879889.55855773
1635206400,2021-10-26 00:00:00,ETH/USD,4222.48,4297.00,4086.62,4131.91,11765.55931136,48614232.174201496
1635120000,2021-10-25 00:00:00,ETH/USD,4089.21,4236.83,4069.35,4220.89,16592.16979614,70033723.57082936
1635033600,2021-10-24 00:00:00,ETH/USD,4169.62,4186.38,3964.00,4082.17,6968.46745637,28446468.796369925
1634947200,2021-10-23 00:00:00,ETH/USD,3971.24,4177.17,3935.32,4172.37,12673.39646137,52878099.19352635
1634860800,2021-10-22 00:00:00,ETH/USD,4055.46,4170.05,3886.00,3970.42,29634.57535772,117661710.69179864
1634774400,2021-10-21 00:00:00,ETH/USD,4164.59,4375.00,3800.00,4055.82,38979.39129362,158093394.79648986
1634688000,2021-10-20 00:00:00,ETH/USD,3877.89,4170.00,3829.54,4163.58,21436.07726164,89250822.56501907
1634601600,2021-10-19 00:00:00,ETH/USD,3749.40,3888.34,3732.47,3878.13,18164.54271150,70444458.02574949
1634515200,2021-10-18 00:00:00,ETH/USD,3845.78,3894.56,3675.40,3744.75,36257.82379134,135776485.64262047
1634428800,2021-10-17 00:00:00,ETH/USD,3828.09,3920.00,3638.59,3844.97,21126.11291104,81229270.35956146
1634342400,2021-10-16 00:00:00,ETH/USD,3869.68,3971.80,3792.56,3829.26,25412.05943583,97309382.7152464
1634256000,2021-10-15 00:00:00,ETH/USD,3792.25,3904.87,3735.61,3868.99,25266.77915585,97756915.88619208
1634169600,2021-10-14 00:00:00,ETH/USD,3609.60,3825.89,3589.90,3790.53,34263.77186335,129877855.16118407
1634083200,2021-10-13 00:00:00,ETH/USD,3490.95,3613.86,3411.71,3609.35,16069.46073728,58000308.11210157
1633996800,2021-10-12 00:00:00,ETH/USD,3540.27,3549.26,3404.33,3490.18,30796.93392513,107486842.84681022
1633910400,2021-10-11 00:00:00,ETH/USD,3415.01,3623.71,3370.01,3543.94,12867.47668366,45601565.31829002
1633824000,2021-10-10 00:00:00,ETH/USD,3572.93,3604.99,3389.60,3422.00,10925.40685912,37386742.27190864
1633737600,2021-10-09 00:00:00,ETH/USD,3564.65,3636.76,3538.25,3574.03,4058.11599377,14503828.305213794
1633651200,2021-10-08 00:00:00,ETH/USD,3588.77,3674.93,3525.01,3563.15,14121.80445315,50318107.53724142
1633564800,2021-10-07 00:00:00,ETH/USD,3575.89,3654.26,3470.01,3587.91,13781.66857762,49447386.50632857
1633478400,2021-10-06 00:00:00,ETH/USD,3515.79,3630.63,3336.09,3576.54,39445.69576610,141079108.73528728
1633392000,2021-10-05 00:00:00,ETH/USD,3389.04,3548.19,3364.77,3516.09,20181.62075484,70960394.91988538
1633305600,2021-10-04 00:00:00,ETH/USD,3419.76,3440.38,3272.00,3383.88,20584.18093893,69654398.19562645
1633219200,2021-10-03 00:00:00,ETH/USD,3388.58,3491.00,3343.63,3417.43,13045.99047540,44583759.23034622
1633132800,2021-10-02 00:00:00,ETH/USD,3311.61,3470.00,3262.00,3391.71,22276.68810358,75556065.80779332
1633046400,2021-10-01 00:00:00,ETH/USD,3000.78,3333.00,2968.97,3311.72,49854.36567897,165103699.90635854
1632960000,2021-09-30 00:00:00,ETH/USD,2849.43,3049.24,2838.10,3000.59,23002.61388777,69021413.20550379
1632873600,2021-09-29 00:00:00,ETH/USD,2806.24,2950.26,2782.48,2851.40,32222.27687717,91878600.28756253
1632787200,2021-09-28 00:00:00,ETH/USD,2924.37,2970.60,2789.55,2807.46,25028.08328499,70265342.69927803
1632700800,2021-09-27 00:00:00,ETH/USD,3058.18,3167.31,2923.93,2923.93,31751.79700502,92840031.81688812
1632614400,2021-09-26 00:00:00,ETH/USD,2925.81,3116.31,2740.62,3064.32,27221.76237745,83416190.88846758
1632528000,2021-09-25 00:00:00,ETH/USD,2929.78,2969.63,2805.00,2925.75,20319.23831938,59449011.51292604
1632441600,2021-09-24 00:00:00,ETH/USD,3156.72,3160.48,2731.30,2929.30,45129.10445943,132196685.6930083
1632355200,2021-09-23 00:00:00,ETH/USD,3075.98,3175.45,3035.85,3154.03,16825.56510661,53068337.11320114
1632268800,2021-09-22 00:00:00,ETH/USD,2764.26,3093.41,2737.79,3079.09,22967.01681598,70717511.80791587
1632182400,2021-09-21 00:00:00,ETH/USD,2972.88,3103.46,2650.00,2765.88,79943.51517538,221114169.75328004
1632096000,2021-09-20 00:00:00,ETH/USD,3334.57,3347.20,2912.28,2977.58,74538.70539610,221944958.41331944
1632009600,2021-09-19 00:00:00,ETH/USD,3433.47,3457.89,3280.36,3328.81,14845.79007061,49418814.44494727
1631923200,2021-09-18 00:00:00,ETH/USD,3400.45,3545.70,3370.05,3435.78,33635.53668000,115564304.2144104
1631836800,2021-09-17 00:00:00,ETH/USD,3572.28,3592.88,3350.00,3398.90,40836.33920742,138798633.33209985
1631750400,2021-09-16 00:00:00,ETH/USD,3619.40,3677.00,3485.19,3571.25,24683.64951707,88151483.33783624
1631664000,2021-09-15 00:00:00,ETH/USD,3437.73,3619.40,3360.00,3615.24,14603.01485019,52793403.40700089
1631577600,2021-09-14 00:00:00,ETH/USD,3286.33,3437.00,3271.32,3437.00,20109.68062981,69116972.32465696
1631491200,2021-09-13 00:00:00,ETH/USD,3401.64,3429.39,3111.72,3281.62,29999.77812738,98447871.89837275
1631404800,2021-09-12 00:00:00,ETH/USD,3265.61,3472.93,3232.76,3406.08,11826.55588036,40282195.452976584
1631318400,2021-09-11 00:00:00,ETH/USD,3208.57,3346.58,3202.94,3266.98,10545.99212411,34453545.34962489
1631232000,2021-09-10 00:00:00,ETH/USD,3421.44,3511.69,3146.15,3209.71,31711.17037239,101783660.65596391
1631145600,2021-09-09 00:00:00,ETH/USD,3499.63,3568.47,3387.62,3424.01,19599.62956934,67109327.64171585
1631059200,2021-09-08 00:00:00,ETH/USD,3435.74,3560.51,3216.00,3492.64,34645.05033853,121002688.61436343
1630972800,2021-09-07 00:00:00,ETH/USD,3928.46,3949.00,3015.00,3429.61,86004.06932253,294960416.1892421
1630886400,2021-09-06 00:00:00,ETH/USD,3952.95,3973.53,3866.62,3928.29,11349.55715700,44584351.884271525
1630800000,2021-09-05 00:00:00,ETH/USD,3889.60,3984.34,3835.00,3951.48,10913.21594416,43123354.53902935
1630713600,2021-09-04 00:00:00,ETH/USD,3937.62,3974.25,3832.02,3887.10,8918.83470650,34668402.38763615
1630627200,2021-09-03 00:00:00,ETH/USD,3792.83,4025.00,3708.89,3938.74,24675.33174941,97189716.17467114
1630540800,2021-09-02 00:00:00,ETH/USD,3823.65,3837.20,3723.22,3786.56,17458.22411701,66106613.11250538
1630454400,2021-09-01 00:00:00,ETH/USD,3431.39,3848.11,3384.24,3831.70,30850.00145380,118207950.57052545
1630368000,2021-08-31 00:00:00,ETH/USD,3230.16,3475.00,3189.92,3432.54,39840.46820840,136754000.74406135
1630281600,2021-08-30 00:00:00,ETH/USD,3225.09,3350.00,3144.44,3226.49,29991.18295265,96766251.8848957
1630195200,2021-08-29 00:00:00,ETH/USD,3248.07,3288.00,3152.19,3225.34,5955.12459745,19207301.569139384
1630108800,2021-08-28 00:00:00,ETH/USD,3271.67,3288.71,3211.06,3245.00,11899.08728190,38612538.2297655
1630022400,2021-08-27 00:00:00,ETH/USD,3094.09,3283.47,3062.00,3276.68,34458.87413658,112910703.70584895
1629936000,2021-08-26 00:00:00,ETH/USD,3226.98,3256.02,3055.00,3093.48,36680.91546467,113471678.37164734
1629849600,2021-08-25 00:00:00,ETH/USD,3174.20,3249.99,3077.81,3230.85,19053.49252198,61558976.31463908
1629763200,2021-08-24 00:00:00,ETH/USD,3326.21,3361.13,3145.17,3175.68,23329.90075176,74088299.21934919
1629676800,2021-08-23 00:00:00,ETH/USD,3242.33,3381.44,3234.12,3317.25,29497.49181192,97850554.71309163
